track_popularity,track_album_release_date,danceability,energy,key,loudness,song_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.5353535353535354,2019,0.1171548117154811,0.622249388753056,2,0.6125293322904075,1,0.0181932245922208,0.2416571364876406,0.0,0.0991631459213519,0.3636930754834685,0.7402820752151575,0.5664718164456686
0.5454545454545454,2017,0.5355648535564854,0.941320293398533,7,0.8495342387826211,1,0.3303011292346298,0.5328607960763866,0.0,0.062296880077998,0.9740070700769392,0.8553611194814167,0.4885704656649118
0.6565656565656566,2018,0.7517433751743376,0.6405867970660146,10,0.5828059446775227,1,0.0627352572145545,0.1081887925094653,3.64741641337386e-06,0.1397871303217419,0.479101684341859,0.3087834312046625,0.3246987181722042
0.3232323232323232,2018,0.3654114365411436,0.5855745721271394,2,0.4299936002275475,1,0.1734629861982434,0.3842255948279641,0.5572441742654509,0.1072879428014299,0.2191723851112497,0.794764190117813,0.3841299724575532
0.2222222222222222,2008,0.5550906555090656,0.8251833740831296,8,0.4956979307402403,1,0.1217063989962358,0.0243666279958992,0.0,0.3642346441338966,0.743189852360158,0.5800474780065117,0.4354883070498592
0.7878787878787878,2014,0.3291492329149232,0.1356968215158924,0,0.3525563535518737,1,0.0155269761606022,0.7542969122219956,0.0,0.1814267143321417,0.3543356207111665,0.7121553986021181,0.3673100985097638
0.5656565656565656,2000,0.9483960948396094,0.8044009779951099,11,0.6663585294745076,1,0.1342534504391467,0.0092907718692735,0.0,0.0840307117322067,0.8970679975046788,0.6396889676105921,0.6647104169329878
0.5555555555555556,2018,0.7698744769874476,0.4938875305623471,11,0.3674891559411221,0,0.0922208281053952,0.7775527600363746,0.0,0.1032255443613909,0.5134123518402994,0.5371923300235918,0.404343261784952
0.4848484848484848,2005,0.5774058577405858,0.7811735941320292,1,0.5030932233520586,0,0.024780426599749,0.0265911003955354,0.1205673758865248,0.08646815079623,0.7837388230401331,0.4118092354277062,0.517352516202009
0.3838383838383838,2019,0.5034867503486751,0.8973105134474327,0,0.5213681291331864,1,0.0644604767879548,0.0095031078710569,6.322188449848025e-05,0.3276730581735457,0.1214389686005406,0.5957093405260798,0.2720620421697715
0.7171717171717171,2019,0.4923291492329149,0.8178484107579462,6,0.7514043945104174,1,0.1436637390213299,0.029017797558775,0.0,0.1519743256418589,0.3335412767727178,0.5798931377376655,0.2908769034697285
0.6767676767676768,2015,0.5481171548117155,0.7897310513447431,5,0.6738249306691318,1,0.0799874529485571,0.0007103751495856,0.0054103343465045,0.0565079623009424,0.6870451237263464,0.7122288939682353,0.3866246750882249
